Question	Potentially_Pejorative
把中国当成他们的殖民地。	Potentially
该死的。龟奴又活了	None
你马上要被打成上海人了	Potentially
人家接受境外投资的，你以为	None
那女的应该被那个黑g的黑d透烂了，嘴也吃黑d吃烂了	Potentially
因为男人理性思维不好骗啊，鸡汤就像网络传销，是要变现的，你说傻子好骗还是聪明人好骗	None
那些人，已经被精神阉割了，这方面帝国主义做的非常成功	Potentially
那你得问那个女主播为什么喜欢地域歧视，反正我是没看到黑龙江的负面新闻比别的地方更多，倒是那个节目报道辽宁本省的负面新闻稍多一点	Potentially
这是一个把外来入侵物种引到西欧的好机会	Potentially
说得好，为了防止西式政治正确绑架科学，需要从我们做起	Potentially
纯黑都能在中国找到女人，混黑还会找不到？黑皮只会越来越多！！	Potentially
能不能改因人而异，性取向是个人的权利	None
这在我们眼里是标准的帅哥，死郭楠你闭嘴吧	Potentially
废话，因为我接触的人都比较有钱。当然风评好啦。骗个鬼的自己，有些东西自己找原因。	None
——同性恋第六感的什么方面最发达？——极度的玻璃心	Potentially
此高密不是彼高密，一个是现实之地，一个是文学性的地方，不能无缝对接。	None
综合作者所述，中国妇联官方认证了唯一一个被世界女权组织批评为媚黑、媚白、媚外的女性群休——中国女性，为官方认证的分裂势力。哎呀，我今天才知道，原来中国妇联都是男性，原来如此。	Potentially
你看别人还不领情	None
我身边的优秀女性说没被冒犯到，看来跳脚的人应该很不如意吧	Potentially
上广东待几天就看到了	None
请你去掉我们河南，改成我们东北下面的河南	Potentially
牲口都是这样的，做不了人事	Potentially
文中其实说的是亚裔女性，这次的批判，包括韩国女性在内，但是没有直接点名。	None
排外表现明显的主要是老一辈，年轻一辈不表现出来，只是打心里瞧不起😅	None
彩礼违法。	None
笑了笑了，前脚还滚呐，你就是嫉妒，后脚那我这五万块钱怎么办，这脑子，笑了笑了	None
这个是杀猪盘，男的都是请来的托，装大款，骗女的交钱参加相亲	Potentially
哈哈 我在乍得 这边小黑两瓶可乐就可以给你当一早上力工	Potentially
知道民族大融合和北方南迁吗？我一个南方的汉族人莫名其妙就变南蛮了？	Potentially
这种问题我也不知道该咋说了，就像我觉的阿莱克丝塔萨漂亮，可是偏偏有人觉得浩克漂亮。。男同属于后者。。	Potentially
我感觉长三角一些媒体搞地域黑比南方周末狠多了	Potentially
我也是，被他们打过	None
各位同仁一起努力，多科普多引导多宣传，尤其向自己家族的女性和身边的朋友科普嘿仁的危害，尤其是年轻少女，三观不成熟，没有分辨是非的能力，极容易被祖坟被人刨了媚嘿和田园表所引导，大家一起加油，小弟天天科普，至少家族女性对公fufu都很反感，唯恐避之不及，大家加油	Potentially
异性恋属阳，是正常的，同性恋属阴，是不正常的	Potentially
就烦这种不知道自己几斤几两地下头男	Potentially
如果这些人都有能力，是男是女都一样，关键是这些人的能力如何，我不了解，你们了解的说说	None
我就是河南的	None
太多了，援助不过来，来了也没大用，地头蛇太根深蒂固了😆	None
所言极是！而且有一个很有意思的现象，往往越是资质平平的直男就越反同，相反越是素质高修养好的帅哥，反而对同性恋很包容……	Potentially
有孩子的女人，就算以后不结婚，心里也不会慌，因为虽然你在一天天的变老，但是你的孩子也在一天天的长大，你根本不需要慌。而不婚不育的女权，你膝下无儿无女，30岁以后，你敢说你不带慌的？等你绝经了，又老又不能生，男人要你有啥用？你最后的筹码也没了	Potentially
黑命贵，黑玫瑰？	Potentially
他就是说了两点，一、这个类比有不恰当的地方，二、希望同性恋能得到平等的对待。	None
别这么说，非洲发生这种现象也是因为非洲生产力低下导致的	None
有人就喜欢听文章的最后一句话	None
每个种族活下来都不容易，嘿贵也有嘿贵的特长，父母的苦口婆心都没用，别说咱们旁观者了。	Potentially
这个人很早就挑拨地域对立了，别理他拉黑	Potentially
他怎么这么虚伪啊？脸呢？	None
作为一个普通人，我们虽然平时能看见黑人，但是基本上不会有交集，八竿子打不着。难不成我看见一个女的跟黑人走在一起就要骂她？？这不神经病吗？	None
easy girl可不是国男喊的🐶	Potentially
在中国说zzqs的黑人都是居心叵测，因为zzqs的适用范围是一个国家中的各个民族之间，而我们中国和黑人根本没有任何关系。他们说我们zzqs，这就证明他们把我们中国当自己家了!大家得团结起来!	Potentially
只有妈宝女才会说别人是妈宝男，妈宝女真下头。	Potentially
堕落的媚黑奴，就算我比黑人厉害无数，我也不帮媚黑奴。这就是报应！	Potentially
还嫌弃我们土穷😆😆😆	Potentially
我老家河南，继父新疆人，一阿姨直接来一句难怪你爸妈会离婚。。。	Potentially
苏北跟江西pk绝对是被带了节奏，很明显江西跟苏北基本没啥交集，甚至江西人口中的江北人也是形容湖北而不是苏北囧	None
现在欧美每一部电影都要有黑人，要不然就是种族歧视！现在天朝抗日剧里面开始出现黑人	Potentially
猎默人在行动，快，加入猎默的队伍吧。	Potentially
那就好 希望像你这样正常的女生对一点，某些女人已经把中国女人是名声搞臭了	Potentially
如果同性恋可以结婚，还会有人骗婚吗？如果社会接纳同性恋，还会有人隐瞒自己是同性恋然后去和异性结婚吗？	Potentially
重新整理回复一下。我过去的回答数据显示东亚男性吸引力并不低，这还是在对亚裔男性高度抹黑的美国的统计数据，其它白人国家情况会更好，比如东欧国家，中东国家。另外，我想法中提到的性吸引力特指不爱运动的国男，不包括韩国男性，人家韩国男性在很多白妞面前性吸引力挺强的。最后，性吸引力或者叫魅力，跟你外娶有一定关系，但不是决定性因素。我国初高中文化毕业，英语差的国男都可以通过经济差娶到巴基斯坦媳妇。所以，亚裔男性性吸引力低为假，性吸引力和外娶的关系更不像你想的那么简单尴尬]	None
微博能是什么好地方！	None
额，炼铜txl能不能④	Potentially
你是性功能正常的肯定这么想了，性功能不正常的不喷死你	None
十几年前我刚上网的时候网上东北的名声还行，最起码“东北曾经是发达地区只是现在衰落了”这种常识哪怕是再黑东北的人也不会否认，但是这几年不知道怎么了，可能是智能手机便宜了流量便宜了，很多地域黑居然张口就是东北是贫困山区一样的地方😓	Potentially
别想太多了，国男去援非，找个黑妹还凑合。“欧美高质量女性”就很难了，毕竟在她们眼中，国男多数是身材矮小，弯腰驼背，眯着眼睛神情猥琐的怪物。否则，NGO别说狗粮了，💩都没得恰啊，国内也没有打拳的空间了，eg随之销声匿迹。	Potentially
北方在古代都南迁了	None
一个垫步侧踢踢废这些幕刃	Potentially
一个网上的账号，没有姓名没有脸	None
教课书一样的普信女	Potentially
是东北先挑事的	Potentially
说得好啊知乎里关于地域的回答是真的不能看，乌烟瘴气的，我已经麻了😅	None
兄弟萌快看，急死的国女出来了。😆	Potentially
我个人是不接受的和黑搞的女人。就算瞒着我，一旦被我知道，分手或者离婚🐶	Potentially
道理很多人给你讲过了，你不听，我家族亲戚教育也不会出现你这种人所以我很小几率碰到，但阻拦不了我想暴打你一顿的欲望	None
嘿玩意基因自带从小都有攻击性	Potentially
我认识的河南朋友都挺好的	None
优点盖住不提，我跟比尔盖茨比谁中文说的好，我赢了，比尔盖茨配不上我	None
这个狗货给私信关了😆	None
上门的人很开心多点对立。就没有人反抗	None
不怕，现在那么多考艺术的，总有人落榜的	None
社达只能对外，不能对内。	Potentially
本山西人真的不敢歧视外地人，感觉全国就我们山西是最穷的，要是没有煤，就彻底没有上桌子的权力了😅😅😅	Potentially
那看来你的生活经验确实是有限🤔，希望你以后多走走看看多了解，不要总是以偏概全	None
河南户籍的新疆人，手动微笑，我要和他们这些地域撕逼到底。	Potentially
😆😆😆这话是事实。福建省内相互歧视的例子多了去了，我们早就习惯了。	Potentially
我害怕😨两点，1外网上有动作片，2有病HIV HPV。	Potentially
不出现在人类面前的哥布林才是好哥布林	Potentially
应该立法中国只承认父系子女拥有中国国籍。	Potentially
直男有几个掰弯的不过是摔锅罢了反倒是直女的很容易磨批之后拍拍屁股找直男继续吸血	Potentially
有本事别匿名 让大家看看你是哪的😆	None
当理性判断女拳阻碍社会正常发展的时候，清算就开始了。	Potentially
自己待的什么破公司自己没点b数吗	None
从五千年前，河南人就向外走了。	None
女权把人变成鬼	Potentially
歧视又怎么样，我们压根不欠他们黑人什么。	Potentially
舔狗逻辑是硬伤	None
真的现在女权生亩媾横行	Potentially
不喜欢不接触就可以了，喜欢不喜欢确实是每个人的自由。一个东西做到所有人态度一致本就不可能	None
嘿蛆离不开䓯品	Potentially
你这样不好，得改。要做到一视同仁，怎么能只歧视后者？	Potentially
百度百科并不正确，出生前的因素（包括基因/母亲怀孕期间的激素水平等）才是决定因素。否则就无法解释那么多出门良好家庭，幸福美满的人最后却成了同性恋。上两个世纪用同性恋做实验品已经实践过了，无论是心理还是身体上的手段都改变不了性取向。人是不可能被掰弯或者掰直的。只是有一部分人是双性恋罢了，双性恋里又有更少书是便异性恋的双性恋，所以给人的假象是人可以被掰弯。目前一般认为同性恋占总人口在5-6%左右，并不会倒是人类灭亡。并且你可以想想看，在人类没有这些意识和利礼法约束的时候同性恋野人肯定也是追求自己的自由，没有繁衍后代，由于没有产生文明的观念，因此同性恋并不会被群体禁止，但人类并没有因此灭亡啊。能挺过野人时代，那就说明性取向并不会有这样的风险。	None
真就南满，不就是你这种人在招黑？说地域黑的地方还用南满这种地域黑的东西，还怪别人黑？	Potentially
河南人就是坏，我们家做生意的被河南人骗了十三万！还把钱给转到外国账户去了 警方最后只追回来三万块！河南周口这个地方专门搞电影诈骗的，还有专门的电信诈骗培训班！我说的都是事实，不是别人，就是我们家自己亲身经历的事情！！	Potentially
那些女的就是汉奸，把劣种引进中国	Potentially
这样规定，很可能会适得其反~最终会让企业和公司那些用人单位，更加不敢招女的	Potentially
看到评论。emmmmm。我其实连评论的勇气都没有，好卑微一上海人啊。	Potentially
然后我和表弟笑的要死，结果小姨在后面听到了，然后回头看到小姨凶狠地瞪着我，然后我一边笑一边把手放在小姨胸上，我表弟在旁边笑不停，我小姨抓着我的手甩开然后带表弟走了，她说真怕我把我弟带坏了	None
那都是南满编的，你如果把南满当成人那是你的认知错误，南满不是人，南满是满子	Potentially
艾呀，梅关系，不会疣事的，概率为淋。疣其湿没有尖锐的问题就更不担心啦，你要照顾好滋己呀，不要经常去疱吧了，找个斑上吧，疹心的。	Potentially
原来女人在你眼里就是个盘。。。 有本事你可以不接的嘛。	Potentially
同还是人人，黑是人兽	Potentially
不如，人家是生意，要收钱的，这个是免费。	None
欢迎大家一起讨论	None
个人认为穷是原罪。河南资源有限，人口一亿。每个人取得一些资源，就需要用心，弄个计谋。	Potentially
😅😅我江苏的，这边传说东莞是xx的天堂	Potentially
深柜竟是反同头子本人	Potentially
都这么让着他们了还不愿意？	None
黑小妞在餐厅厨房准备尼日利亚大菜，熏火鸡配以菠菜、甘蓝、洋葱、辣椒杂炖。	None
愿黄桃罐头保佑每一位东北人	None
才10年？	None
好像从几年前，田园女权开始崛起，然后慢慢的，怎么就突然男女对立了。。。以前是真没这个氛围啊。。	None
呜呜呜畒破防啦	Potentially
有些时候，有些人，根本听不到讲道理，懂么？对于有些人，只能强硬对抗，懂我的意思么？不要觉得世界很温柔，所有事情都可以通过讲道理和感化来解决。至少有一部分人，他们决然不会。听懂我的意思了么？是一部分人！讲不通道理的人！你就不用和他们费口舌了，直接对抗！因为你对抗之外所有温柔的手段很难甚至无效。	None
你的考虑这个确实对。我就被我认为很好的朋友坑得很惨，虽然不是这方面。	None
黑人就是犯罪分子	Potentially
这些人的恋爱观就离谱	None
这个吧说真的不否认男的会有玩玩黑人里的美女的想法，但是应该没有几个会娶黑人女的😅	Potentially
因为非洲算不上文明	Potentially
我们中国真是太强啦😆	None
艾就一个字.	Potentially
这就是玩火的后果，跪舔嘿看到后很不开心	Potentially
支持顺便我想当个小吧把他绞杀	None
我一直以为广西被黑是“传销”和“电诈”🐶	None
我一直以为东三省里都是黑辽一起黑吉林，因为我们同学有人一直把黑吉辽理解为黑及辽	Potentially
在所谓“自立自强”中走向极端，然后彻底反智。管中窥豹，略见一斑，权拳二象性实乃真知灼见PS：素材来自吧中某帖一个破防幕刃的主页，欢迎仗义之辈同去屠?	Potentially
你需要更多的黑吉拔	Potentially
这种就是典型的废物龟♂了兄弟们，大家引以为戒	Potentially
爱家乡不分男女，可江西人是为了黑而生😅	Potentially
默鱼，政治正确就是不正确	Potentially
广东那地方是人待的地方？待时间长人还不熟了？	Potentially
当你们还在讨论和黑人恋爱什么的时候，脸书已经就黑人是不是灵长类展开了讨论。	Potentially
小时候就觉得山东台土，问题我十岁时去山东住过一段时间，感觉比我们那里发达不少啊，咋跟我的印象不一样，当时就很奇怪。	None
呵呵，知道女权变成女拳之前结婚率血崩了么？涨价去库存不好用了，恼羞成怒	Potentially
“直男”这个词已经被用了好几年了，拳虱们可以骂“直男”，那我们也可以骂“歪女”，或者大家认为有更合适的词可以用来指代那些喜欢拐弯抹角、敏感多疑、热衷于勾心斗角的女的，欢迎大家留言，对于拳虱们的诽谤，我们要坚决反击。	Potentially
这问题让我明白为什么基佬在唐山不会被打。基佬染艾原来是为了防身！	Potentially
所以说找老婆还是处女优先，HIV 潜伏期太长了，听你的意思应该没中招，祝你今后的生活幸福美满	Potentially
对策：没错，我就是让你伺候我照顾家务当保姆，不然叫你吃干饭的？	Potentially
黑蛆靠下体不知道能不能征服世界	Potentially
最大的侮辱就是无视，如果真的遇到大概也是如此	None
确实，女性地位能提高的的确确是好的趋势	None
这次的俄乌战争提供的案例真是太多了	None
合肥嫁到江阴叫远嫁....我怀疑江苏是除了安徽省第二多安徽人多的省份了。真的那么远江苏就不会有那么多安徽人了。	None
强迫认可的意思是改变别人的想法，不认可就喷。	None
挂出来的图片内容在这过不了审	None
同让人觉得恶心	Potentially
《牛棚杂忆》《平凡的世界》还有很多伤痕文学都一个样，反正题材都是改开前的故事。	None
吧里这几个反同根本没什么能力，反同还得靠同性恋	Potentially
杀光一切基佬	Potentially
他是打算在中国当司机，不回非洲建设自己的祖国！	None
能出国的确实这样，知乎说的属于国内城乡结合部三本大学生	Potentially
全网呼叫河南人	None
小鬼们离开b站是没有生存空间的	None
那为什么要优待白人呢	None
投资人造子宫，找相关从业人员发泄信誉	Potentially
同婚不能减少骗婚，基佬骗婚是因为想要繁衍后代，占两种便宜而已，不是来自社会压力，禁止同性恋繁衍后代就可以消灭骗婚。	Potentially
只要大家都敢拿前途来捍卫下一代男性的应有权利而去qj亩人，亩人除了怕，根本反抗不了。	Potentially
混血，眼睛是蓝色，混了白皮猪的血	Potentially
呵呵咋感觉你才是功能最全呢，，，	None
😓😓什么laji就不要叫了，艾滋里面什么人最多不用多说了吧，不要拿艾滋碰瓷同性恋，散滨😓😓😓	Potentially
没有没有没有，在网上非常少见给广东的，倒是黑东北和河南的排山倒海。我也是湖北的。	Potentially
说实话，全世界觉得嫁给老黑还光荣的也就大陆妇女?那老黑是什么品种，刚从树上下来没几天，要不是跟人类没有生殖隔离，都可以定义为类人猿?咱们可是正宗智人，和欧美人种一样，基因里都是有尼安德特人的基因，杂交出来的所以及其聪敏，老黑就不一样了，基因跟咱就不是一个色?你非得嫁给动物，那也没办法?	Potentially
无所谓，吃狗肉无所谓，同性恋无所谓，恶心的是，强迫别人吃狗肉，到处宣传同性恋的人	Potentially
尤其那种总爱英雄救美，一副道德表姿态，帮女人说话的是最为可气的	Potentially
她这是被你说破防了，但是又说不过你所以无能狂怒，满嘴胡话了	None
加两个0吧，一百万小仙女几个月就花完了	Potentially
有一说一，生下外国孩子的女性绝大多数都不认为自己的孩子是中国人吧？尤其还是黑的。	Potentially
以前在国外干活用过特制套子毛妹说比老黑那还厉害👍，完全可以代替老黑。有些瘾大的女人找猩猩其实就是为了找刺激，只要她们知道有代替方法她们也不会冒艾滋风险和臭气找猩猩。	Potentially
反过来也是一样，一个丑的直男也完全没必要担心会被同性恋看上😅😅😅	Potentially
辽宁河南安徽并不穷，有不了解经济的人以为它穷，这些地方交通发达，劳动力充足，穷不了。有次见到一个甘肃的说安徽穷，想要歧视的样子囧	Potentially
活着浪费空气死了浪费土地的渣子们	None
江苏教育就别碰瓷北京了，北京家庭从小在教育的投入不是江苏能比的，孩子从小受到的苦和江苏不是一个级别的。江苏确实会哭穷，自己哭就行了，别老碰瓷其他人😆	Potentially
别再问孩子的爸爸是谁，爸爸是在这个迪厅认识的，孩子是在这个迪厅怀上的，这个孩子就是大家的孩子，抓好脐带妈妈要开始蹦了……	Potentially
所以你喜欢一个人就是馋ta身子？就是想上ta?⁉	None
让大家都看到这张图	None
张口就要钱的母苟确实没教养	Potentially
男同也会喜欢熊类，男人的身体魅力好不好只有正常的女人才知道	Potentially
太对了 我也是男童 我巴不得那些恶心的男童(占大部分）都去死😢	Potentially
不好意思 我就是詹姆斯的球迷	None
你好棒棒呀 知道的真多你家那片还有井盖吗	Potentially
的确，这个才是重点	None
虽然但是，这图TM就是摆在馆里的泥塑或沙雕啊看着泥塑感就很重，也魅说是本人吧。	None
跑到反同群里面开盒，真的是狗啊	None
地域黑，主要是前汪伪区前国统区的，他们和台湾亲着呢。	Potentially
总而言之，现在就是女人最好的年代，不作妖，处女，整容的能好看，找一个中产阶级以上轻轻松松。也不知道女拳哪里不满>_<，或许整容也整不出来？	Potentially
你想穿没人管你啊，没人干涉你的	None
河南被黑的最惨虽然一直有人说鲁豫皖鄂豫皖，河南被全国各种黑，说起河南就是总部偷井盖逃难，以前那个省人没有逃难去	Potentially
想都不用想，肯定有哎滋	Potentially
对呀，那你干嘛什么都推到同性恋身上呢？	Potentially
希望你们都能花钱娶女同	Potentially
通讯录也不是什么好东西	Potentially
应该且必须批判。对于犹太财阀的渗透，必须坚决清理。	Potentially
你是哪里人？	None
伪军比鬼子多。	None
没开化的人和动物有啥区别虽然中国也有少部分	Potentially
头像也很亮眼呢。	None
武警排长不比你一个不知道什么二本院校出来的臭鱼烂虾好一百倍？还隔着要求这么高呢。公职是说能换地方发展就换地方的吗。还是说，你这lkd也是公职？凡事想想你配吗？	Potentially
家暴只是给男人定的，男人打女人那叫暴力，女人得到的是同情，男人得到的是谴责；而女打男，得到的却是掌声，男被女打，不仅得不到同情，还会被取笑鄙视。平等吗？到底在哪里？有没有平等？	Potentially
像我家里一群蟑螂，天天偷吃大米不事生产，还做很多危害秩序的事	Potentially
《做IT的，有自己的公司》	None
希望你早日出来	None
近代历史基本都是讲南方的，辛亥革命，清政府被推翻，两党建立，北伐军统一军阀。据我所知只有一个地方的人自卑的很，连张学良都能吹成“民族英雄”，毛和周当年最多就是看到张对党有贡献夸他一个民族英雄罢了。从人民角度来说，张在“江桥抗战”发了一个电报给马占山这个土匪自己带领的军队死守东北，自己却不支援。蒋张实属一丘之貉，一个民族罪人一个罪人	Potentially
不太清楚，一会弯一会直的只能说明男女都喜欢。。	None
各位有新词了	None
那你没看见的大部分不喜欢黑人的女人多着是，幼稚	Potentially
他也不累的谁知道天天表面上说什么正确婚恋价值观背地里天天xingqin女儿的是不是就是他	Potentially
啧啧，现在只要在网上说同性恋一点不，就要被喷的连渣都不剩	Potentially
资本只会把事情变糟糕	Potentially
违背自然规律道德伦理的还是人吗？好像是人，因为动物很少有搞基的	Potentially
😱这真有这样的人的吗😱那得长多好看啊😱😱😱🍉只能说p的一定是p的，或许是了解太少还是有好看的？🍉毕竟印度人和印度婆罗门是不同种族来着。	None
都该人道毁灭	Potentially
让她生下来，在分，不要说残忍，女人背着你跟别人的时候从不想这些。	Potentially
你可以说你自己讨厌吃屎 但你说喜欢吃屎的人是大傻逼你就有问题	None
偷红苕芒果的，是哪儿的呢	None
嘿，我籍贯就是大石桥的	None
不和最差的比难道还和最好的比吗？你到底脑子里在想什么，你屁股坐哪边的？	None
当你在明处看到了一只蟑螂，说明阴处已经挤不下了	Potentially
是的，生下来的混血在西方正经人眼里有个蔑称叫黄疽病	Potentially
变态男太恶心了	Potentially
江苏和上海能上被黑名单是我没想到的，怕不知道安徽被这两个黑的有多惨（还要加上浙，地域黑三巨头），现在神隐，加害者变被害者了属于是。	Potentially
你怕是不知道13年的“浙江滚出中国”。	Potentially
重庆是四川的 高级黑啊	None
在我高中时，电视上放有关黑人的好事，具体什么我不记得了，当时我爸说了句：嘿硅，我据理力争🤣：人人平等，黑人也是人，不要偏见看待现在的我：嘿硅🤣	Potentially
你📉我好心相劝却被基佬拉黑	Potentially
吧务和几个等级高的蛇鼠一窝，整天高强度巡逻删评，双标玩的飞起	None
啥，东北也内斗？🤣	None
看了就说我们流氓，不看就说我们是gay、xing冷淡。还不知道你怎么想的？	Potentially
说几个比较可笑的流行网络用词。1，你键盘侠。答：哦，那你怎么打字的？能脱离并且永远不用键盘吗？2，你急了急了。答：好吧，急是人类的多种情绪之一，你不会你没有，所以你不是人？3，你无能狂怒。答：哦，其实吧，狂怒是情绪，和有能无能有啥关系。你不会狂怒，所以你也不是人？4，你吃不到葡萄说葡萄酸。答：你家长辈恐怕没告诉过你，有的人不需要入口，拿起来看看闻闻就知道葡萄的好坏。先说这几个，再有再说，另外过年了，外来户是不是考虑回家探探亲，比如黑色的某些家伙，回去就别回来了。	Potentially
泼峰是一名猪种反同部队退役反同战士。	Potentially
咋不打死这狗比贱货	None
台湾人还觉得大陆人吃不起茶叶蛋呢	Potentially
小孩子都知道远离默，那玩意有艾滋	Potentially
别人下班了哪里溜你不会都监视吧？生出来的那些是铁证了吧？不出去搞黑妞也不等于戒色吧？网传的东莞下岗女工非洲工地重新上岗，这个如果是真的也挺合情合理的吧？	Potentially
泰迪家族嘛i了i了	Potentially
甘肃人默默扶额	None
原来是他不被娘服待见	None
从我多年网上冲浪的经验来看，混迹各个网络社区，就没见过哪个省是团结的，真要有的话也许是上网人数最少的新疆青藏等地	None
“这里是你的吗？是你买的吗？这里是我的！”某默视频里这么说的😆所以没有自己的文化，怎么才能过得更好呢？当然是去吃别人碗里的😆	Potentially
人造子宫真的能解放吗？	None
没意见，顺便问一下，这个吧是反同吧吧？为什么还有通讯录山峦？	Potentially
只能说截图中的部分观点有道理。女人的民族意识确实弱于男人，任何一个民族的崛起动力都源于雄性意识，这是事实。原因可能相关于人类的原始基因，猿类、猴类等群居动物的雄性都会挑战强者，夺取雌性，然后又有保护雌性的本能意识，而雌性会依附于强者，抛弃弱者，人类社会也有类似特征，比如古代蒙古人、满洲人喜欢屠男而留女。但是，截图中的观点绝对化了，人来自动物，带有动物性，但又高于动物，有人性，古往今来，不少女性有强烈的民族意识，她们或与民族共存亡，或奋起反抗，或舍身取义，或杀身成仁，不让须眉，比如秋瑾反满，比如赵一曼抗日。	None
是的，至少我的朋友圈绝对不允许有男同。	Potentially
回望历史，每当中华民族危难之际，上天总会派下天选之人拯救华夏民族。	None
我结婚的时候去做了婚检的，你结婚的时候难道不用做？	None
把湖北 湖南 河南放出来吧。这三个大概率也不会愿意和西部玩的😆😆😆	Potentially
所以说搞地域歧视的总之就是非蠢即坏，当然也有可能是又蠢又坏	None
大家看到没有本吧吧宠真是能够带给我们无限乐趣原来跪虫族都是这种水平我真是太放心了	Potentially
和女生相关违法问题不是女生问题是TM谁的问题？主语都有问题还发个鸡毛声，发什么声？÷生？你一个男，怎么还性别歧视？管你你是什么玩意儿	Potentially
抱团，我们需要工会	None
异性恋基本盘	None
你不怕你万一失足被他们烧死么	None
为什么全世界都讨厌黑，看看黑做了什么，被讨厌自己找的，没有会同情他们，只能说一句干得漂亮。🐶	Potentially
国女不值得娶和谈恋爱，只适合逢场作戏。	Potentially
但我好像听说这个故事是假的不知道各位有没有求证过当然，如果是真的就应该加大宣传力度	None
有河南在，你们都往后稍稍😅😅😅	None
国外有敌对黑恶势力，收买国内一些下贱二狗子汉奸在国内做恶意引导～	None
成都还好，基本上只要交了黑人基本上所有人都知道了，毕竟嘴碎，哦对了我就是成都人	None
江照黎明以前看来国产想离婚这下绝了看完这个女的不得弄死男的环境决定大部分婚姻观念和人性为什么没电视拍为什么要彩礼和要求的这么丧心病狂为什么很多外面都不要就国NAN要这要那	Potentially
人类祖先还是非洲呢？这能说明什么？	None
我不想嘿河南，我确实在河南人身上吃过亏😅	Potentially
我是湖北的我不反对哦，好多男孩确实爱面子，兜里没钱吃喝玩都要好的，不过好的也有很多，属于两极分化了，是因为我们那的人讲理，很客气咋说了就是想把自己好的待客，算烟都拿最好的，其他坏毛病少，别喷我啊	None
大家集火冲啊	None
我去过全国几乎所有的省，而且不是走马观花式的那种，我是平均在每个省都待了两三个月	None
作为房东，告诉各位，这是真事儿，两个女的是最脏的，其次是一个女的	Potentially
我觉得女人也没用	Potentially
黑g还要考驾照，供非送的钱太多了吧，太恐怖了，要有猩司机了	Potentially
论经济数据，辽宁真没资格鄙视中部	Potentially
[表情]反对的进来飞个	None
她们房子和彩礼准备好了嘛？	None
这事说开了吧，实际老华裔觉得黑黑白白花钱没数，不可靠，基本看不上白白黑黑。更不会以找黑白为荣，看不起黄男	Potentially
800的小姐能提非常高的情绪价值，买礼物反而提供负情绪价值	Potentially
只要女的嫁走，别留在中国就不歧视	Potentially
坦克女震怒	Potentially
还不是龟男不努力	Potentially
这种喜欢自称本宫的多半是有性别焦虑问题的通讯录	Potentially
你这个就是胡说了，大城市的年轻女性比男性更多。大城市中反而是男性更愿意选择回老家结婚生子	None
急了，某些法西斯急了，还说我是黑孝zi，23333，某些fxs，够了?	Potentially
不予置评……不过你问我的话我可能给你输出racial discrimination观念。（虽然并未接触过默）	Potentially
这种没脑子的女人真的是很可爱	Potentially
就算是女的打男的，男的只要敢还一下手，那么后果就不堪设想	Potentially
好家伙，果然buff叠满了。	None
又是你，这种帖子滚去女权吧	Potentially
要是哪个国女能把黑人老公真给弄成结婚登记的合法老公，还能一直呆在身边一起组织家庭，抚养后代，我还真高看那个国女一眼。。大部分媚黑女，说到底就是个几把袋子，你留得住人嘛你。😲	Potentially
男的比女的多几千万呢！这些光棍当然要找外国女人，找中国的没有了啊。这叫双标吗？	None
你们实在叠buff吗🤣	None
中华人民共和国 快管理一些地域黑吧	Potentially
最后说一次，别在我评论区理发店	None
随着科技的发展，男人的武力已经被削得越来越弱了。	None
男同喜欢封面上的那种?	Potentially
安徽人我接触的比较多。江西人接触的太少了，感觉江西真的存在感高低呀，黑都想不起它来。	Potentially
山东河南还是主要的征兵地	None
男权吧也有渣滓，我刚才就被禁言了。	None
虽然非洲确实艾滋病比较严重了但也没有30%🤔	None
支持作者传播正能量	None
是不是穷人家因为家徒四壁就不应该设置防盗门了。同性恋是贼穷人家也是人，不管怎么都应该提防变态基佬	Potentially
反向操作去喜欢中国的地方留学不就行了	None
你去撒哈拉以南待两年就不会说这种话了	None
它不是个骗婚gay佬吗不是直男	Potentially
对不起，我这个失败者和不正经的人又来给黑人添堵了。要说黑人的所谓运动天赋，这玩意你得用在特定的环境，比如运动会的一些特定项目。黑人都不能独霸运动会所有的项目，敢妄言自己运动能力超群？别忘了脑力运动也是运动。黑人的运动天赋实在是鸡肋，有时候还不如鸡肋了。	Potentially
有些地方就是嘴贱	Potentially
肯定是西安人😓西安人优越感可太高了😓与西安邻居的省份哪个省没被西安人黑过的😆西安口气直逼北上广每天就在网络上做梦做直辖市心里一点数没有😓	Potentially
日韩女权已经用事实证明过了的东西，还需要相信他们的理论？	None
不恶心。同性恋并不恶心，恶心的是那些跟风的人。在我眼里，同性恋很普通，那就是一种人与人之间的爱情而已，只不过喜欢的人是同性，想娶想嫁的人也是同性而已。碰到一个喜欢的人就很幸福，至少能遇见喜欢的。我的建议是喜欢就好，管他男的女的，管它合不合法，只要不是三就行，单恋也行，互相喜欢也行。别人的恋爱跟我们没有关系。我们要做到“不提倡不跟风不嘲笑”没必要真的接受同性恋，因为每个人的思想观念都不同。（仅为个人看法）	None
说的这么新奇，好了，我宣布，田园女拳有滥交的自由	Potentially
黑人的头上顶着三个大字：艾滋病其他乱搞的外国人也是垃圾渣滓，怎么了？	Potentially
黑玩意抢完了结果一看这文物是现代伪造的，尴尬了	Potentially
哈哈哈哈……我也是……太逗来……感觉说撒都会被歧视……	None
