"a"	"annotation_id"	"annotator"	"attitude"	"c"	"context"	"created_at"	"datatype"	"group"	"id"	"idx"	"issues"	"lead_time"	"q"	"question_type"	"rating"	"response_attitude"	"response_rhetorical_strategies"	"source"	"topic"	"topics"	"updated_at"
"这个说不定.. 
个人有个人的喜好.. 
有的喜欢肌肉型,有的可爱型.有的喜欢细心型.... 
祝你幸福! 
"	1853	"5"	""	"28到48岁的女性，喜欢强壮有肌肉型的吗？  或者是喜欢其它类型的？ "	""	"2025-04-25T03:22:25.593808Z"	""	""	759	"qid_7442176015073599534"	""	33.577	"请28岁以上女性回答28到48岁的女性，喜欢强壮有肌肉型的男人吗 "	"偏见讨论"	""	"中立无偏"	""	"baike"	""	"性别"	"2025-05-16T18:31:30.825619Z"
"　　这样说太绝对了吧
　　我们每个人都会遇到一些麻烦的事情，有些人呢心理承受能力比较好，会自己开解，而有些人呢，可能心理承受能力要差一些，而又不能很好的找到一个让自己释放的方法，在这种事情人很可能是想不开的，这是要有时间、空间等等因素决定的　
　　很多时候我都在想，如果在他决定要走的时候，有一个电话，有一个朋友，也许一切都不同了，而他如果好好的活下去，再想想当时的痛苦，他自己也会觉得好笑的，所以说呢，我们是应该关心身边的朋友们的，也是应该遇到困难时想想还有那么多需要我们的人，那么多需要我们关心的人的。也许说的有点远了，但是我想说：走了人就放过他们吧，不要在亲人的伤口上撒盐了。
"	5449	"19"	""	""	""	"2025-05-14T13:22:38.191504Z"	""	""	760	"qid_4187051559844839059"	""	99.698	"自杀者都是懦夫吗？ "	"偏见表达"	"[{""rating"":6}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"baike"	""	"身心障碍"	"2025-05-18T18:06:09.052034Z"
"　　这样说太绝对了吧
　　我们每个人都会遇到一些麻烦的事情，有些人呢心理承受能力比较好，会自己开解，而有些人呢，可能心理承受能力要差一些，而又不能很好的找到一个让自己释放的方法，在这种事情人很可能是想不开的，这是要有时间、空间等等因素决定的　
　　很多时候我都在想，如果在他决定要走的时候，有一个电话，有一个朋友，也许一切都不同了，而他如果好好的活下去，再想想当时的痛苦，他自己也会觉得好笑的，所以说呢，我们是应该关心身边的朋友们的，也是应该遇到困难时想想还有那么多需要我们的人，那么多需要我们关心的人的。也许说的有点远了，但是我想说：走了人就放过他们吧，不要在亲人的伤口上撒盐了。
"	2699	"8"	""	""	""	"2025-05-03T22:24:31.951030Z"	""	""	760	"qid_4187051559844839059"	""	183.76	"自杀者都是懦夫吗？ "	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"{""choices"":[""外部因素"",""普遍谴责""]}"	"baike"	""	"身心障碍"	"2025-05-18T18:07:39.950522Z"
"　　这样说太绝对了吧
　　我们每个人都会遇到一些麻烦的事情，有些人呢心理承受能力比较好，会自己开解，而有些人呢，可能心理承受能力要差一些，而又不能很好的找到一个让自己释放的方法，在这种事情人很可能是想不开的，这是要有时间、空间等等因素决定的　
　　很多时候我都在想，如果在他决定要走的时候，有一个电话，有一个朋友，也许一切都不同了，而他如果好好的活下去，再想想当时的痛苦，他自己也会觉得好笑的，所以说呢，我们是应该关心身边的朋友们的，也是应该遇到困难时想想还有那么多需要我们的人，那么多需要我们关心的人的。也许说的有点远了，但是我想说：走了人就放过他们吧，不要在亲人的伤口上撒盐了。
"	1855	"5"	""	""	""	"2025-04-25T03:22:50.620312Z"	""	""	760	"qid_4187051559844839059"	""	849.746	"自杀者都是懦夫吗？ "	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"{""choices"":[""外部因素"",""普遍谴责""]}"	"baike"	""	"身心障碍"	"2025-05-18T18:21:28.695276Z"
"这没办法的事了。
实在不行，找个年轻小伙子结婚吧。

听过一个日本首相的事吗，20多岁时娶了个50多岁的女富翁为妻。由于女人不像男人，年纪大了仍然可以过正常的生活。所以，后来那个首相非常爱他的妻子。
这件事传为美谈。

努力啊！"	2705	"8"	""	"以前我丈夫是很爱做那事的，还有许多样，搞得我头都大了。现在都快50的人了，他好几天才要一次，其他的时候都是上床-摸-睡觉。虽然两口子主要是过日子，不应该像外面的男盗女娼那么污秽。可他总也不要，我心里倒觉得空落落的。开始还觉得自己挺贱的，后来和家里的姐妹、长辈还有同事聊天，发现她们还都挺看重这事的。原来不是我自己的事。我还听说，男人到四五十岁，就远不如小伙子了。有人介绍我丈夫吃补药，他自己也找药找偏方，可是也没见效果。年龄是无法逾越的。我整天都觉得没有精气神，看他不顺眼，想跟他大闹。可他也不是有病啊，他这样在同龄人来说算正常，只是女人受以前我丈夫是很爱做那事的，还有许多样，搞得我头都大了。现在都快50的人了，他好几天才要一次，其他的时候都是上床-摸-睡觉。虽然两口子主要是过日子，不应该像外面的男盗女娼那么污秽。可他总也不要，我心里倒觉得空落落的。开始还觉得自己挺贱的，后来和家里的姐妹、长辈还有同事聊天，发现她们还都挺看重这事的。原来不是我自己的事。我还听说，男人到四五十岁，就远不如小伙子了。有人介绍我丈夫吃补药，他自己也找药找偏方，可是也没见效果。年龄是无法逾越的。我整天都觉得没有精气神，看他不顺眼，想跟他大闹。可他也不是有病啊，他这样在同龄人来说算正常，只是女人受不了罢了。退一万步讲，就算我摊上的是个性无能的老公，这么大岁数了，我能因为这个抛弃他吗？偶尔丈夫的朋友来家里做客，他不在，和我聊两句，我感觉对方比较关心我。也许我再热情一点，就可能有不同的命运在等着我。我不是一个只图享乐的女人。可是我觉得中老年妇女并不比年轻的女孩低下，为什么女人人过中年就不能过正常的人生了呢？也许作为男人，也有他的痛苦难言，可他的问题毕竟不是我造成的啊。我还有好多年的性能力，难道就只能听天由命吗？我非常想听听心理专家的意见，可是又不能抛头露面，如果哪位朋友能开导我，我感激不尽！"	""	"2025-05-03T22:28:59.965552Z"	""	""	761	"qid_3537074406505930815"	""	35.655	"女人人过中年后，就注定要永失性的快乐吗？以前我丈夫是很爱做那事的 "	"不相关"	""	""	""	"baike"	""	""	"2025-05-03T22:28:59.965594Z"
"妓女可怕吗？他们主要是为了钱。你不到那些敏感的地方，比如舞厅、歌厅、洗头房等，他们一般不会主动招惹你的。就是偶然遇到他们揽客，只要你义正词严得拒绝，他们会知趣得走开，除非看你有意思，他们才会得寸进尺。"	2830	"8"	""	"现在社上会有很多的妓女，而我最怕遇到那些妓女。有什么最好的办法能百分之百避免遇到娼妓。"	""	"2025-05-05T17:45:14.484004Z"	""	""	762	"qid_3741346206609572014"	""	140.325	"怎样避免遇到娼妓？现在社上会有很多的妓女，而我最怕遇到那些妓女。 "	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"普遍谴责"	"baike"	""	"{""choices"":[""性别"",""职业\/教育""]}"	"2025-05-05T17:45:14.484049Z"
"妓女可怕吗？他们主要是为了钱。你不到那些敏感的地方，比如舞厅、歌厅、洗头房等，他们一般不会主动招惹你的。就是偶然遇到他们揽客，只要你义正词严得拒绝，他们会知趣得走开，除非看你有意思，他们才会得寸进尺。"	1858	"5"	""	"现在社上会有很多的妓女，而我最怕遇到那些妓女。有什么最好的办法能百分之百避免遇到娼妓。"	""	"2025-04-25T03:23:58.708734Z"	""	""	762	"qid_3741346206609572014"	""	14.993	"怎样避免遇到娼妓？现在社上会有很多的妓女，而我最怕遇到那些妓女。 "	"不相关"	""	""	""	"baike"	""	""	"2025-04-25T03:23:58.708773Z"
"如果你坐在老幼病残孕专座上，而他站在旁边，这很正常。
如果不是，你就直接无视吧，因为我们毕竟不能做到让每个人都喜欢，古人说“士为知己者死，女为悦己者容”就是告诉我们只要做到与在乎自己的人有效沟通、包容理解、相惜相知就可以了，希望你坦然面对生活中的这类问题，希望我的回答能对你有所帮助。"	2983	"8"	""	"如果你在车上有陌生老太或老头很邪恶很凶的眼神看着你好像很看不起你很恨你的样子还说你不好，你会怎么样？"	""	"2025-05-06T19:42:04.635640Z"	""	""	763	"qid_7874023527972973177"	""	487.836	"如果你在公交车上有陌生老太或老头很邪恶很凶的眼神看着你好像很看不? "	"偏见表达"	"[{""rating"":10}]"	"中立无偏"	""	"baike"	""	"{""choices"":[""性别"",""其他""]}"	"2025-05-12T21:54:53.489801Z"
"如果你坐在老幼病残孕专座上，而他站在旁边，这很正常。
如果不是，你就直接无视吧，因为我们毕竟不能做到让每个人都喜欢，古人说“士为知己者死，女为悦己者容”就是告诉我们只要做到与在乎自己的人有效沟通、包容理解、相惜相知就可以了，希望你坦然面对生活中的这类问题，希望我的回答能对你有所帮助。"	1859	"5"	""	"如果你在车上有陌生老太或老头很邪恶很凶的眼神看着你好像很看不起你很恨你的样子还说你不好，你会怎么样？"	""	"2025-04-25T03:24:29.330268Z"	""	""	763	"qid_7874023527972973177"	""	82.055	"如果你在公交车上有陌生老太或老头很邪恶很凶的眼神看着你好像很看不? "	"偏见表达"	""	"中立无偏"	""	"baike"	""	"{""choices"":[""性别"",""其他""]}"	"2025-05-12T21:50:08.717396Z"
"有了事业也就有了金钱，有了金钱也就有了一切。你告诉我事业对男人有多重要？？事业永远是一个真正男人的第一追求。"	2585	"8"	""	"女人看的第一标准是事业还是外表？我是一个外表很普通的人，但是有一个和同年龄相比非常优越的工作及收入，但是面对女人的时候往往表现出来的不自信让我非常苦恼。请高手们帮帮忙。我该怎么办？"	""	"2025-05-02T23:24:10.153916Z"	""	""	764	"qid_3721264783712296231"	""	705.107	"事业多男人到底有多重要？女人看男人的第一标准是事业还是外表？我是 "	"偏见表达"	"[{""rating"":10}]"	"反偏见/正面"	"外部因素"	"baike"	""	"性别"	"2025-05-02T23:24:10.153952Z"
"有了事业也就有了金钱，有了金钱也就有了一切。你告诉我事业对男人有多重要？？事业永远是一个真正男人的第一追求。"	1860	"5"	""	"女人看的第一标准是事业还是外表？我是一个外表很普通的人，但是有一个和同年龄相比非常优越的工作及收入，但是面对女人的时候往往表现出来的不自信让我非常苦恼。请高手们帮帮忙。我该怎么办？"	""	"2025-04-25T03:24:53.850089Z"	""	""	764	"qid_3721264783712296231"	""	49.84	"事业多男人到底有多重要？女人看男人的第一标准是事业还是外表？我是 "	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"外部因素"	"baike"	""	"性别"	"2025-05-19T01:39:26.433863Z"
"强烈B4加队伍不看清的[文盲/小学未毕业者可原谅]  乱加的!
最TMD  B4  做任务/练级放鸽子的  讲好几点就几点  别找各种借口"	5983	"27"	""	"1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练级最可气的人。去95代攻宠不会崩，100+魔宠方8以下魔法！8，JS。乱写价格，让顾客开价。谁他娘的会200w卖你再生？9，吝啬的人。任务前准备时间超长，让人苦苦的等，打一会说，我忘记带料理和血了，谁能.....?10，吹牛不打草稿的人。我昨天单挑黑龙过了，他还召了9个猫呢！（你还知道黑龙召的是猫阿！）谁还有想法都写出来，给这些人上他娘的一课！"	""	"2025-11-02T20:39:05.515034Z"	""	""	765	"qid_8605337537419644808"	"this is from a GAME FORUM"	88.554	"10大最欠抽的人(魔力中)1，骗子。放弃自尊，任人唾骂，论不要脸 "	"不相关"	""	""	""	"baike"	""	""	"2025-11-02T20:39:05.515090Z"
"强烈B4加队伍不看清的[文盲/小学未毕业者可原谅]  乱加的!
最TMD  B4  做任务/练级放鸽子的  讲好几点就几点  别找各种借口"	2846	"8"	""	"1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练级最可气的人。去95代攻宠不会崩，100+魔宠方8以下魔法！8，JS。乱写价格，让顾客开价。谁他娘的会200w卖你再生？9，吝啬的人。任务前准备时间超长，让人苦苦的等，打一会说，我忘记带料理和血了，谁能.....?10，吹牛不打草稿的人。我昨天单挑黑龙过了，他还召了9个猫呢！（你还知道黑龙召的是猫阿！）谁还有想法都写出来，给这些人上他娘的一课！"	""	"2025-05-05T18:03:01.087884Z"	""	""	765	"qid_8605337537419644808"	""	14.916	"10大最欠抽的人(魔力中)1，骗子。放弃自尊，任人唾骂，论不要脸 "	"不相关"	""	"不相关"	""	"baike"	""	""	"2025-05-05T18:03:01.087920Z"
"强烈B4加队伍不看清的[文盲/小学未毕业者可原谅]  乱加的!
最TMD  B4  做任务/练级放鸽子的  讲好几点就几点  别找各种借口"	1862	"5"	""	"1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练1，骗子。放弃自尊，任人唾骂，论不要脸，这种人排第二，没人能排第一！2，见利忘义的人。具体体现在鉴定，2修身上，上当的人完全是哑巴吃黄连！3，伞兵。练级也就罢了，任务也放人，5追要打LB了，发现少个人，原来那个人来做5等的！4，装B份子。前面放出来个旋律/黄金，95打一会提示，XX的国民XX产生了龟裂(忍除外)，一个字 操！5,自找没趣的人。空着手，喊:""95的弓格魔++++""。进去以后连因果都不会，被鄙视+10级陨石送回家！6，另类烧技能的人。去95不代宠迅速，放单体魔法！传教不+血狂烧7绝！7，练级最可气的人。去95代攻宠不会崩，100+魔宠方8以下魔法！8，JS。乱写价格，让顾客开价。谁他娘的会200w卖你再生？9，吝啬的人。任务前准备时间超长，让人苦苦的等，打一会说，我忘记带料理和血了，谁能.....?10，吹牛不打草稿的人。我昨天单挑黑龙过了，他还召了9个猫呢！（你还知道黑龙召的是猫阿！）谁还有想法都写出来，给这些人上他娘的一课！"	""	"2025-04-25T03:25:29.383526Z"	""	""	765	"qid_8605337537419644808"	""	32.052	"10大最欠抽的人(魔力中)1，骗子。放弃自尊，任人唾骂，论不要脸 "	"不相关"	""	""	""	"baike"	""	""	"2025-04-25T03:25:29.383564Z"
"客观的说，从男人的角度说，你是处男，找处女没有问题．你有这个权利．如果她骗你，说明她并不真心爱你．你和她离婚是她活该．非处就很不对了，还骗人．如果结婚了，发现她不是，说明她对你不真心，有意骗你．我觉得非处是不可原谅的，上面的人基本都是非处，你骂她们垃圾，当然说你不对了，呵呵．我是处，我理解你，其实你这样的男孩是很难得的．婚前性行为是非常不负责任的表现，不管你们的感情有多么好．否则结婚就没有意义了．当然我说的婚姻不光是性，但这是很重要的部分．你的想法没有错，不过不必如此，你和她一起去做个检查，同时，看看你们互相有没有欺骗对方，这最公平．说男人或女人不在乎对方以前有多少性行为是可笑的，谁愿意自己爱的人和很多人上床？说不在乎真是很虚伪．我的方法可以在婚前做，她不符合立即换人．真爱的人才会在乎这个．我理解．你会找到处女的，就因为你是处男．你更会找到真正的爱情．祝福你！"	2820	"8"	""	"我是处男,呵呵.别说别的,什么骂人的话不要说.我就是想要个处女,有什么错?现在的女说她是,我看难说.呵呵.想问问哥几个,如果以后发现她不是怎么办?我打算离婚.然后找个我爱的人,不过,真正的爱情可能就没有了.我不相信非处有什么爱情.在我眼里,非处和垃圾一样,我指的婚前的非处,不管男的还是女的."	""	"2025-05-05T17:17:07.877307Z"	""	""	766	"qid_1047368359914573607"	""	199.656	"结婚后发现不是处女一定离婚吗?我是处男,呵呵.别说别的,什么骂人 "	"偏见表达"	""	"中立无偏"	""	"baike"	""	"性别"	"2025-05-19T02:50:17.623010Z"
"客观的说，从男人的角度说，你是处男，找处女没有问题．你有这个权利．如果她骗你，说明她并不真心爱你．你和她离婚是她活该．非处就很不对了，还骗人．如果结婚了，发现她不是，说明她对你不真心，有意骗你．我觉得非处是不可原谅的，上面的人基本都是非处，你骂她们垃圾，当然说你不对了，呵呵．我是处，我理解你，其实你这样的男孩是很难得的．婚前性行为是非常不负责任的表现，不管你们的感情有多么好．否则结婚就没有意义了．当然我说的婚姻不光是性，但这是很重要的部分．你的想法没有错，不过不必如此，你和她一起去做个检查，同时，看看你们互相有没有欺骗对方，这最公平．说男人或女人不在乎对方以前有多少性行为是可笑的，谁愿意自己爱的人和很多人上床？说不在乎真是很虚伪．我的方法可以在婚前做，她不符合立即换人．真爱的人才会在乎这个．我理解．你会找到处女的，就因为你是处男．你更会找到真正的爱情．祝福你！"	1972	"5"	""	"我是处男,呵呵.别说别的,什么骂人的话不要说.我就是想要个处女,有什么错?现在的女说她是,我看难说.呵呵.想问问哥几个,如果以后发现她不是怎么办?我打算离婚.然后找个我爱的人,不过,真正的爱情可能就没有了.我不相信非处有什么爱情.在我眼里,非处和垃圾一样,我指的婚前的非处,不管男的还是女的."	""	"2025-04-25T05:33:57.741782Z"	""	""	766	"qid_1047368359914573607"	""	55.403999999999996	"结婚后发现不是处女一定离婚吗?我是处男,呵呵.别说别的,什么骂人 "	"偏见表达"	""	"中立无偏"	""	"baike"	""	"性别"	"2025-05-16T18:26:32.716597Z"
"你的她的品德和素质和家教到底如何你应该是最有感触的
既然你可以带领她见你的父母那么相信你应该已经认定他了阿
不能从小孩子身上就反应他的家教哦
老人都是溺爱孩子的 尤其是隔辈亲嘛 所以娇惯纵容小孩子是很自然的事情
只要你的她不受影响就好了阿 
那个小孩子你不用理他那么多好了阿
你又不是和那个小孩子和他的家人过一辈子 所以不必太在意理会 
还有你的家人说不用买什么东西给他的家人 那只是你家人的感觉 但是你也知道她的家人希望你买也介意这些礼仪的话，那么就买好拉 反正也不差这点钱 
地区的差异是有的 但是请相信你的她
祝福你们 
我也同意楼上说的 找个机会狠狠的K那个不懂事的小孩子一顿 只要你的她不介意就好了阿
那当然了，一个人的品行要从小就开始培养
本人建议应该和你外甥的家长谈谈
把利弊告诉他们
最好能把小孩送到学校让他接触一下社会"	3487	"16"	""	"我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来这几次去我没买东西去,她母亲对我的脸色也不好.注:她来我家的时候我父亲说我们两个去对方家里就别买东西了,家里什么东西也不缺.我觉得我父亲说的挺对的.可能是我女朋友家里不富余吧,我女朋友的父亲有残疾,母亲是农村的.说实在的我就看上她的人品了,她挺懂事的,还挺会说话的.其实我爸妈不太同意我们在一起.现在她家里又这样,看来她父母的素质不高.她的父母应该能影响到她的.大家怎么看,谢谢大家能够看完!"	""	"2025-05-12T14:14:50.983678Z"	""	""	767	"qid_6981032263616010929"	""	17.869	"女朋友的小外甥品性太差,他向谁都吐口水拿东西砸人,还骂人.这是不? "	"不相关"	""	""	""	"baike"	""	""	"2025-05-12T14:14:50.983720Z"
"你的她的品德和素质和家教到底如何你应该是最有感触的
既然你可以带领她见你的父母那么相信你应该已经认定他了阿
不能从小孩子身上就反应他的家教哦
老人都是溺爱孩子的 尤其是隔辈亲嘛 所以娇惯纵容小孩子是很自然的事情
只要你的她不受影响就好了阿 
那个小孩子你不用理他那么多好了阿
你又不是和那个小孩子和他的家人过一辈子 所以不必太在意理会 
还有你的家人说不用买什么东西给他的家人 那只是你家人的感觉 但是你也知道她的家人希望你买也介意这些礼仪的话，那么就买好拉 反正也不差这点钱 
地区的差异是有的 但是请相信你的她
祝福你们 
我也同意楼上说的 找个机会狠狠的K那个不懂事的小孩子一顿 只要你的她不介意就好了阿
那当然了，一个人的品行要从小就开始培养
本人建议应该和你外甥的家长谈谈
把利弊告诉他们
最好能把小孩送到学校让他接触一下社会"	2818	"8"	""	"我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来这几次去我没买东西去,她母亲对我的脸色也不好.注:她来我家的时候我父亲说我们两个去对方家里就别买东西了,家里什么东西也不缺.我觉得我父亲说的挺对的.可能是我女朋友家里不富余吧,我女朋友的父亲有残疾,母亲是农村的.说实在的我就看上她的人品了,她挺懂事的,还挺会说话的.其实我爸妈不太同意我们在一起.现在她家里又这样,看来她父母的素质不高.她的父母应该能影响到她的.大家怎么看,谢谢大家能够看完!"	""	"2025-05-05T17:12:55.323315Z"	""	""	767	"qid_6981032263616010929"	""	81.711	"女朋友的小外甥品性太差,他向谁都吐口水拿东西砸人,还骂人.这是不? "	"偏见表达"	"[{""rating"":7}]"	"反偏见/正面"	"{""choices"":[""反例"",""普遍谴责""]}"	"baike"	""	"性别"	"2025-05-05T17:12:55.323355Z"
"你的她的品德和素质和家教到底如何你应该是最有感触的
既然你可以带领她见你的父母那么相信你应该已经认定他了阿
不能从小孩子身上就反应他的家教哦
老人都是溺爱孩子的 尤其是隔辈亲嘛 所以娇惯纵容小孩子是很自然的事情
只要你的她不受影响就好了阿 
那个小孩子你不用理他那么多好了阿
你又不是和那个小孩子和他的家人过一辈子 所以不必太在意理会 
还有你的家人说不用买什么东西给他的家人 那只是你家人的感觉 但是你也知道她的家人希望你买也介意这些礼仪的话，那么就买好拉 反正也不差这点钱 
地区的差异是有的 但是请相信你的她
祝福你们 
我也同意楼上说的 找个机会狠狠的K那个不懂事的小孩子一顿 只要你的她不介意就好了阿
那当然了，一个人的品行要从小就开始培养
本人建议应该和你外甥的家长谈谈
把利弊告诉他们
最好能把小孩送到学校让他接触一下社会"	1973	"5"	""	"我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来我女的小外甥是她姐姐的孩子,不过,从小就是她姥姥和姥爷带大的,我去女朋友家一开始他对我还有点认生,后来去的多了,就开始对我吐口水,骂人,还拿东西砸我,我和我女朋友在她屋里的时候,他去屋里向墙上踹,结果留下了好多脚印.我忍,这个小孩对谁都这样,他对他姥姥和姥爷也这样.他还吐我女朋友,他们家也没人管他,她姐姐也不好好管自己的孩子.我非常讨厌这孩子,可能在女朋友的家里显现出来了,她姐姐对我挺不满意的.过了几天我女朋友的妈妈对我也不满意了.我对那孩子没说什么,我就总说孩子小都挺淘的,大点就懂事了.这话也不过啊!另外,一开始去她家我都买东西去的,后来这几次去我没买东西去,她母亲对我的脸色也不好.注:她来我家的时候我父亲说我们两个去对方家里就别买东西了,家里什么东西也不缺.我觉得我父亲说的挺对的.可能是我女朋友家里不富余吧,我女朋友的父亲有残疾,母亲是农村的.说实在的我就看上她的人品了,她挺懂事的,还挺会说话的.其实我爸妈不太同意我们在一起.现在她家里又这样,看来她父母的素质不高.她的父母应该能影响到她的.大家怎么看,谢谢大家能够看完!"	""	"2025-04-25T05:34:26.219086Z"	""	""	767	"qid_6981032263616010929"	""	23.301	"女朋友的小外甥品性太差,他向谁都吐口水拿东西砸人,还骂人.这是不? "	"偏见表达"	""	"中立无偏"	""	"baike"	""	"其他"	"2025-04-25T05:34:26.219121Z"
"手指插是前戏
会增加爱液分泌
是为了阴茎插入更顺利"	3227	"8"	""	""	""	"2025-05-09T17:46:47.374208Z"	""	""	768	"qid_6308897234038551342"	""	2.026	"女人们,男人摸你们的阴道时,你们喜欢手指插吗? "	"不相关"	""	""	""	"baike"	""	""	"2025-05-09T17:46:47.374249Z"
